fiber_type,resin_type,density_g_cm3,layer_count,curing_temperature_c,fiber_volume_fraction,void_content_pct,tensile_strength_mpa
Aramid,Phenolic,2.16,16,138.0,0.56,1.84,1839.8
Glass,Phenolic,1.51,8,62.1,0.69,3.0,641.8
Carbon,Polyester,1.55,6,90.4,0.53,1.8,1394.6
Carbon,Phenolic,1.63,21,83.3,0.38,2.36,1983.4
Basalt,Vinyl Ester,2.19,8,146.0,0.59,1.85,1163.5
Carbon,Epoxy,1.58,20,128.3,0.56,3.0,2937.5
Aramid,Polyester,1.71,23,126.3,0.46,2.06,1712.0
Aramid,Polyester,2.02,7,99.5,0.67,2.68,1083.7
Aramid,Phenolic,1.86,13,144.5,0.61,2.12,1736.8
Basalt,Phenolic,1.62,20,76.5,0.36,1.77,1234.1
Glass,Phenolic,1.63,16,79.9,0.6,2.87,922.1
Carbon,Epoxy,2.13,14,122.3,0.47,0.69,3168.4
Aramid,Polyester,1.66,8,119.1,0.45,2.18,1128.1
Aramid,Epoxy,1.98,19,109.4,0.53,1.78,2287.2
Carbon,Phenolic,1.49,12,107.5,0.55,2.59,1921.6
Aramid,Vinyl Ester,1.56,18,67.7,0.45,0.98,1727.9
Carbon,Polyester,2.05,11,105.7,0.43,1.75,1777.8
Aramid,Phenolic,1.69,6,87.2,0.58,0.5,1271.0
Glass,Epoxy,1.64,11,111.1,0.5,1.17,1221.9
Aramid,Vinyl Ester,1.66,14,100.4,0.37,1.26,1570.0
Basalt,Polyester,1.96,8,90.1,0.45,0.61,1020.6
Carbon,Vinyl Ester,1.62,6,123.4,0.59,2.09,1722.7
Carbon,Phenolic,1.84,9,68.1,0.48,1.23,1730.8
Carbon,Polyester,1.72,21,139.8,0.4,2.02,2364.7
Basalt,Epoxy,2.09,9,61.7,0.53,1.18,1292.2
Glass,Phenolic,1.71,23,143.8,0.59,2.71,1215.1
Carbon,Vinyl Ester,1.83,15,85.8,0.58,2.95,2060.6
Carbon,Epoxy,1.47,17,115.8,0.66,1.07,3700.4
Glass,Vinyl Ester,1.96,21,149.7,0.66,2.84,1254.4
Basalt,Phenolic,2.12,8,97.2,0.68,3.42,895.3
Carbon,Phenolic,1.64,7,129.2,0.58,1.17,1882.3
Glass,Phenolic,2.0,13,144.9,0.58,2.2,1070.7
Basalt,Vinyl Ester,1.69,19,119.0,0.69,1.96,1708.2
Glass,Polyester,1.92,20,109.3,0.42,2.67,929.6
Aramid,Phenolic,1.42,22,64.4,0.7,1.91,1880.9
Basalt,Epoxy,2.16,22,115.3,0.55,3.44,1590.2
Basalt,Vinyl Ester,1.64,6,91.7,0.41,2.17,799.2
Basalt,Polyester,1.48,20,159.0,0.4,2.05,1413.0
Carbon,Polyester,1.99,6,73.7,0.6,2.16,1293.9
Carbon,Epoxy,1.89,12,110.2,0.63,2.45,2553.8
Basalt,Polyester,2.04,17,148.7,0.36,2.24,1286.4
Aramid,Epoxy,1.52,22,63.7,0.64,1.58,2338.3
Basalt,Epoxy,1.82,17,156.5,0.51,3.03,1651.3
Aramid,Vinyl Ester,1.51,21,157.6,0.53,1.47,2238.4
Glass,Phenolic,1.62,10,78.4,0.38,1.78,730.4
Carbon,Epoxy,1.75,21,78.3,0.68,2.41,3066.2
Glass,Vinyl Ester,1.93,10,121.2,0.5,1.24,1039.1
Glass,Epoxy,1.49,10,69.4,0.46,3.44,751.7
Glass,Phenolic,1.41,21,140.7,0.47,1.89,1178.8
Carbon,Epoxy,2.11,15,122.6,0.53,3.07,2520.4
Glass,Epoxy,1.53,21,124.2,0.36,2.26,1284.7
Carbon,Vinyl Ester,1.91,6,141.1,0.64,2.38,1723.5
Glass,Epoxy,1.92,16,79.6,0.37,0.8,1242.1
Basalt,Epoxy,2.08,7,86.1,0.52,2.58,1048.9
Carbon,Epoxy,2.15,9,101.8,0.69,2.14,2487.9
Aramid,Epoxy,1.99,9,97.2,0.62,1.52,1757.2
Carbon,Phenolic,2.09,22,128.0,0.61,1.21,3090.8
Basalt,Phenolic,1.71,18,149.6,0.49,0.53,1706.2
Glass,Vinyl Ester,1.47,12,155.7,0.59,1.95,1109.1
Glass,Vinyl Ester,1.88,9,154.6,0.62,0.84,1160.2
Glass,Polyester,2.18,19,115.0,0.5,3.16,862.2
Basalt,Epoxy,2.01,17,146.7,0.64,1.78,2075.8
Basalt,Polyester,1.72,7,68.1,0.38,3.46,554.7
Basalt,Epoxy,2.16,18,135.3,0.48,0.75,2065.8
Glass,Phenolic,1.85,15,150.6,0.39,1.98,1011.8
Carbon,Phenolic,1.5,14,134.4,0.59,1.21,2618.6
Glass,Vinyl Ester,1.78,6,82.4,0.69,0.54,866.5
Aramid,Phenolic,1.46,8,129.5,0.38,1.0,1353.1
Glass,Polyester,1.64,6,122.8,0.55,3.2,630.1
Basalt,Polyester,1.55,13,95.3,0.55,0.73,1318.9
Glass,Phenolic,2.19,22,88.0,0.49,2.31,1010.1
Aramid,Epoxy,2.15,24,132.6,0.56,1.75,2653.5
Basalt,Polyester,2.09,18,76.5,0.49,2.83,1084.5
Aramid,Epoxy,2.0,22,143.8,0.51,1.74,2574.6
Glass,Epoxy,1.45,11,129.2,0.54,2.75,1087.3
Glass,Epoxy,2.01,24,84.7,0.51,0.89,1616.7
